Date/Time,Time,Flow Rate,Filtered Flow Rate,Total
Tue 22 Aug 2017 12:17:03,2:10:54.244,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:04,2:10:55.444,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:05,2:10:56.645,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:06,2:10:57.845,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:08,2:10:59.046,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:09,2:11:00.246,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:11,2:11:02.647,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:13,2:11:04.348,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:14,2:11:05.548,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:15,2:11:06.748,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:16,2:11:07.949,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:18,2:11:09.149,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:19,2:11:10.350,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:21,2:11:12.250,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:22,2:11:13.851,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:24,2:11:15.251,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:25,2:11:16.452,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:26,2:11:17.652,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:27,2:11:18.853,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:29,2:11:20.053,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:30,2:11:21.454,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:32,2:11:22.954,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:33,2:11:24.555,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:34,2:11:25.755,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:36,2:11:26.956,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:37,2:11:28.156,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:38,2:11:29.456,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:40,2:11:31.257,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:42,2:11:33.158,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:43,2:11:34.758,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:45,2:11:35.959,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:46,2:11:37.259,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:47,2:11:38.460,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:48,2:11:39.760,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:50,2:11:41.361,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:52,2:11:43.261,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:54,2:11:44.962,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:55,2:11:46.362,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:56,2:11:47.563,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:57,2:11:48.763,0.000,0.000,0.000
Tue 22 Aug 2017 12:17:59,2:11:49.964,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:00,2:11:51.864,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:02,2:11:53.465,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:04,2:11:54.966,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:05,2:11:56.166,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:06,2:11:57.366,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:07,2:11:58.667,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:08,2:11:59.867,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:11,2:12:01.968,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:12,2:12:03.669,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:14,2:12:04.969,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:15,2:12:06.169,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:16,2:12:07.370,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:17,2:12:08.570,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:18,2:12:09.771,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:20,2:12:11.171,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:21,2:12:12.672,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:23,2:12:14.372,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:24,2:12:15.573,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:25,2:12:16.773,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:27,2:12:17.974,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:28,2:12:19.274,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:29,2:12:20.574,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:31,2:12:22.075,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:32,2:12:23.576,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:33,2:12:24.776,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:35,2:12:25.976,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:36,2:12:27.177,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:37,2:12:28.477,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:38,2:12:29.678,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:40,2:12:31.478,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:42,2:12:33.379,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:44,2:12:34.880,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:45,2:12:36.180,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:46,2:12:37.380,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:47,2:12:38.681,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:49,2:12:39.881,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:50,2:12:41.382,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:51,2:12:42.782,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:53,2:12:44.383,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:54,2:12:45.583,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:56,2:12:46.984,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:57,2:12:48.284,0.000,0.000,0.000
Tue 22 Aug 2017 12:18:58,2:12:49.485,0.000,0.000,0.000
Tue 22 Aug 2017 12:19:00,2:12:51.185,0.000,0.000,0.000
Tue 22 Aug 2017 12:19:01,2:12:52.786,0.000,0.000,0.000
Tue 22 Aug 2017 12:19:03,2:12:54.587,0.000,0.000,0.000
Tue 22 Aug 2017 12:19:05,2:12:55.887,0.000,0.000,0.000
Tue 22 Aug 2017 12:19:06,2:12:57.087,0.000,0.000,0.000
Tue 22 Aug 2017 12:19:07,2:12:58.288,0.000,0.000,0.000
Tue 22 Aug 2017 12:19:08,2:12:59.488,0.000,0.000,0.000
Tue 22 Aug 2017 12:19:10,2:13:00.989,0.000,0.000,0.000
Tue 22 Aug 2017 12:19:12,2:13:02.890,0.000,0.000,0.000
Tue 22 Aug 2017 12:19:13,2:13:04.490,0.000,0.000,0.000
Tue 22 Aug 2017 12:19:14,2:13:05.691,0.000,0.000,0.000
Tue 22 Aug 2017 12:19:16,2:13:06.891,0.000,0.000,0.000
Tue 22 Aug 2017 12:19:17,2:13:08.091,0.000,0.000,0.000
Tue 22 Aug 2017 12:19:18,2:13:09.292,0.000,0.000,0.000
Tue 22 Aug 2017 12:19:19,2:13:10.492,0.000,0.000,0.000
Tue 22 Aug 2017 12:19:21,2:13:12.393,0.000,0.000,0.000
Tue 22 Aug 2017 12:19:23,2:13:14.194,0.000,0.000,0.000
Tue 22 Aug 2017 12:19:25,2:13:15.894,0.000,0.000,0.000
Tue 22 Aug 2017 12:19:26,2:13:17.095,0.000,0.000,0.000
Tue 22 Aug 2017 12:19:27,2:13:18.295,0.000,0.000,0.000
Tue 22 Aug 2017 12:19:29,2:13:20.496,0.000,0.000,0.000
Tue 22 Aug 2017 12:19:31,2:13:21.896,0.000,0.000,0.000
Tue 22 Aug 2017 12:19:34,2:13:24.997,0.000,0.000,0.000
