"TOA5","CR3000_flume","CR3000","5362","CR3000.Std.29","CPU:CR3000Flume.CR3","53051","Table1"
"TIMESTAMP","RECORD","VWC_S2_2","Temp_S2_2","VWC_S2_1","Temp_S2_1","VWC_S3_8","Temp_S3_8","VWC_S3_7","Temp_S3_7","VW_S3_4_Avg","PA_uS_S3_4_Avg","VW_S3_5_Avg","PA_uS_S3_5_Avg","VW_S4_2_Avg","PA_uS_S4_2_Avg","VW_S4_3_Avg","PA_uS_S4_3_Avg","VW_S4_4_Avg","PA_uS_S4_4_Avg","VW_S4_5_Avg","PA_uS_S4_5_Avg","VW_S4_6_Avg","PA_uS_S4_6_Avg","VW_S4_7_Avg","PA_uS_S4_7_Avg","VW_S4_8_Avg","PA_uS_S4_8_Avg","VWC_S3_4","T_S3_4","VW_S3_6_Avg","PA_uS_S3_6_Avg"
"TS","RN","%","DegC","%","DegC","%","DegC","%","DegC","","uSec","","uSec","","uSec","","uSec","","uSec","","uSec","","uSec","","uSec","","uSec","m^3/m^3","Deg C","","uSec"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Avg","Avg"
"2017-08-22 11:49:35",28,35.48,13.72,38.93,13.67,2.26,14.34,6.59,14.08,0.023,16.64,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.53,0.016,16.26,0.01,15.88,0.002,15.37,0.147,13.63,"NAN","NAN"
"2017-08-22 11:49:40",29,35.48,13.67,39.05,13.64,2.26,14.29,6.65,14.08,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.74,0.021,16.52,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.63,"NAN","NAN"
"2017-08-22 11:49:45",30,35.48,13.72,38.99,13.67,2.26,14.29,6.59,14.08,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.59,0.042,17.75,0.021,16.52,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.63,"NAN","NAN"
"2017-08-22 11:49:50",31,35.54,13.72,38.99,13.67,2.14,14.34,6.65,14.08,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.52,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.64,"NAN","NAN"
"2017-08-22 11:49:55",32,35.48,13.7,38.99,13.67,2.26,14.31,6.65,14.08,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.52,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.63,"NAN","NAN"
"2017-08-22 11:50:00",33,35.43,13.7,38.93,13.67,2.14,14.29,6.59,14.08,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.59,0.042,17.75,0.021,16.52,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.64,"NAN","NAN"
"2017-08-22 11:50:05",34,35.48,13.72,39.11,13.67,2.26,14.34,6.53,14.08,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.53,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.63,"NAN","NAN"
"2017-08-22 11:50:10",35,35.43,13.7,39.05,13.7,2.14,14.34,6.59,14.08,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.53,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.64,"NAN","NAN"
"2017-08-22 11:50:15",36,35.48,13.7,39.05,13.67,2.26,14.29,6.65,14.08,0.023,16.64,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.52,0.016,16.26,0.01,15.88,0.002,15.37,0.147,13.63,"NAN","NAN"
"2017-08-22 11:50:20",37,35.48,13.72,39.05,13.62,2.26,14.31,6.65,14.08,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.52,0.016,16.26,0.01,15.88,0.002,15.37,0.147,13.64,"NAN","NAN"
"2017-08-22 11:50:25",38,35.48,13.72,39.05,13.67,2.26,14.31,6.65,14.08,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.53,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.63,"NAN","NAN"
"2017-08-22 11:50:30",39,35.43,13.72,39.11,13.67,2.26,14.29,6.65,14.11,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.52,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.65,"NAN","NAN"
"2017-08-22 11:50:35",40,35.43,13.7,39.05,13.67,2.32,14.31,6.59,14.08,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.53,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.65,"NAN","NAN"
"2017-08-22 11:50:40",41,35.48,13.72,39.05,13.67,2.14,14.29,6.65,14.08,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.52,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.64,"NAN","NAN"
"2017-08-22 11:50:45",42,35.54,13.7,38.93,13.67,2.26,14.31,6.65,14.11,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.52,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.64,"NAN","NAN"
"2017-08-22 11:50:50",43,35.48,13.72,39.05,13.67,2.14,14.34,6.65,14.11,0.022,16.63,0.014,16.13,0.119,21.37,0.101,20.6,0.043,17.75,0.021,16.52,0.016,16.26,0.01,15.88,0.002,15.37,0.147,13.64,"NAN","NAN"
"2017-08-22 11:50:55",44,35.54,13.72,39.11,13.72,2.26,14.34,6.65,14.11,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.59,0.042,17.75,0.021,16.53,0.016,16.27,0.01,15.88,0.002,15.36,0.147,13.63,"NAN","NAN"
"2017-08-22 11:51:00",45,35.48,13.72,38.99,13.67,2.26,14.31,6.65,14.11,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.59,0.042,17.75,0.021,16.53,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.63,"NAN","NAN"
"2017-08-22 11:51:05",46,35.48,13.72,39.05,13.72,2.14,14.34,6.65,14.13,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.59,0.042,17.75,0.021,16.52,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.63,"NAN","NAN"
"2017-08-22 11:51:10",47,35.43,13.72,38.93,13.72,2.14,14.31,6.77,14.11,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.53,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.65,"NAN","NAN"
"2017-08-22 11:51:15",48,35.48,13.72,39.11,13.67,2.14,14.34,6.59,14.08,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.52,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.64,"NAN","NAN"
"2017-08-22 11:51:20",49,35.43,13.72,39.05,13.7,2.26,14.31,6.53,14.13,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.52,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.64,"NAN","NAN"
"2017-08-22 11:51:25",50,35.43,13.72,39.11,13.67,2.14,14.34,6.59,14.11,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.53,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.65,"NAN","NAN"
"2017-08-22 11:51:30",51,35.43,13.72,38.93,13.67,2.26,14.34,6.59,14.13,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.52,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.65,"NAN","NAN"
"2017-08-22 11:51:35",52,35.43,13.72,38.99,13.67,2.32,14.34,6.65,14.11,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.52,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.64,"NAN","NAN"
"2017-08-22 11:51:40",53,35.48,13.72,38.99,13.7,2.14,14.34,6.65,14.11,0.022,16.63,0.014,16.13,0.119,21.37,0.101,20.6,0.042,17.75,0.021,16.52,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.65,"NAN","NAN"
"2017-08-22 11:51:45",54,35.31,13.72,39.05,13.7,2.14,14.34,6.77,14.11,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.52,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.64,"NAN","NAN"
"2017-08-22 11:51:50",55,35.54,13.7,38.93,13.67,2.26,14.31,6.65,14.13,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.52,0.016,16.26,0.01,15.88,0.002,15.37,0.147,13.65,"NAN","NAN"
"2017-08-22 11:51:55",56,35.54,13.72,39.05,13.67,2.26,14.34,6.65,14.13,0.023,16.64,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.52,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.65,"NAN","NAN"
"2017-08-22 11:52:00",57,35.48,13.72,39.05,13.72,2.26,14.34,6.59,14.11,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.59,0.042,17.75,0.021,16.53,0.016,16.27,0.01,15.88,0.002,15.36,0.147,13.65,"NAN","NAN"
"2017-08-22 11:52:05",58,35.48,13.72,39.05,13.72,2.26,14.34,6.77,14.13,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.59,0.042,17.75,0.021,16.53,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.65,"NAN","NAN"
"2017-08-22 11:52:10",59,35.43,13.72,38.99,13.67,2.26,14.34,6.65,14.13,0.023,16.64,0.014,16.13,0.119,21.36,0.101,20.59,0.042,17.75,0.021,16.53,0.016,16.26,0.01,15.88,0.002,15.37,0.147,13.66,"NAN","NAN"
"2017-08-22 11:52:15",60,35.43,13.72,38.93,13.7,2.14,14.34,6.65,14.11,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.52,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.65,"NAN","NAN"
"2017-08-22 11:52:20",61,35.48,13.72,39.11,13.7,2.26,14.34,6.59,14.11,0.022,16.63,0.014,16.13,0.119,21.37,0.101,20.59,0.042,17.75,0.021,16.53,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.66,"NAN","NAN"
"2017-08-22 11:52:25",62,35.48,13.72,38.93,13.67,2.26,14.34,6.65,14.13,0.022,16.63,0.014,16.13,0.119,21.37,0.101,20.6,0.042,17.75,0.021,16.52,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.65,"NAN","NAN"
"2017-08-22 11:52:30",63,35.43,13.72,39.05,13.67,2.26,14.36,6.65,14.13,0.023,16.64,0.014,16.13,0.119,21.37,0.101,20.6,0.042,17.75,0.021,16.53,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.65,"NAN","NAN"
"2017-08-22 11:52:35",64,35.54,13.72,39.05,13.7,2.14,14.31,6.65,14.13,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.59,0.042,17.75,0.021,16.52,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.66,"NAN","NAN"
"2017-08-22 11:52:40",65,35.43,13.72,38.99,13.7,2.14,14.36,6.59,14.13,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.53,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.66,"NAN","NAN"
"2017-08-22 11:52:45",66,35.43,13.72,38.99,13.67,2.26,14.34,6.65,14.13,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.53,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.63,"NAN","NAN"
"2017-08-22 11:52:50",67,35.48,13.7,39.05,13.72,2.14,14.34,6.59,14.13,0.022,16.63,0.014,16.13,0.119,21.36,0.101,20.6,0.042,17.75,0.021,16.53,0.016,16.27,0.01,15.88,0.002,15.37,0.147,13.64,"NAN","NAN"
