Title =  "./properties/material_sand.mprops/sand"
 # Van Genuchten function parameters:
# Residual water saturation                                  5.000000E-02
# Alpha (power index)                                         12.0500    
# Beta (power index)                                          5.67000    
# Gamma (computed)                                           0.823633    
# Pore connectivity                                          0.500000    
# Minimum relative permeability                              1.000000E-03
#  Table minimum pressure                                    -1000.00    
#  Table maximum s-k slope                                    100.000    
#  Table smoothness factor                                   1.000000E-07
variables="Pressure","Saturation"
zone t="Pressure - Saturation"
# unsaturated tables
# pressure-saturation
  -1000.00000000000       5.000000000000000E-002
  -500.000000000000       5.000000000000000E-002
  -250.000000000000       5.000000000000006E-002
  -125.000000000000       5.000000000000138E-002
  -62.5000000000000       5.000000000003490E-002
  -31.2500000000000       5.000000000088831E-002
  -15.6250000000000       5.000000002261386E-002
  -7.81250000000000       5.000000057568466E-002
  -3.90625000000000       5.000001465530071E-002
  -2.92968750000000       5.000005616407797E-002
  -1.95312500000000       5.000037308243963E-002
  -1.70898437500000       5.000069602877370E-002
  -1.46484375000000       5.000142977824081E-002
  -1.22070312500000       5.000335000185272E-002
  -1.09863281250000       5.000547939309434E-002
 -0.976562500000000       5.000949761563423E-002
 -0.854492187500000       5.001771889514661E-002
 -0.793457031250000       5.002504602277269E-002
 -0.732421875000000       5.003639797654961E-002
 -0.671386718750000       5.005464479861984E-002
 -0.640869140625000       5.006790439360091E-002
 -0.610351562500000       5.008528071773107E-002
 -0.579833984375000       5.010836277956204E-002
 -0.549316406250000       5.013948732929058E-002
 -0.518798828125000       5.018216203026993E-002
 -0.488281250000000       5.024177394742343E-002
 -0.473022460937500       5.028041273815172E-002
 -0.457763671875000       5.032681110404771E-002
 -0.442504882812500       5.038286854299794E-002
 -0.427246093750000       5.045103929302946E-002
 -0.411987304687500       5.053452257457969E-002
 -0.396728515625000       5.063752852645239E-002
 -0.381469726562500       5.076565445160027E-002
 -0.366210937500000       5.092642404966403E-002
 -0.350952148437500       5.113007106012887E-002
 -0.343322753906250       5.125218655181923E-002
 -0.335693359375000       5.139069530737496E-002
 -0.328063964843750       5.154824711582426E-002
 -0.320434570312500       5.172799601212968E-002
 -0.312805175781250       5.193371133855441E-002
 -0.305175781250000       5.216991673932761E-002
 -0.297546386718750       5.244206502261536E-002
 -0.289916992187500       5.275675934440420E-002
 -0.282287597656250       5.312203457737460E-002
 -0.274658203125000       5.354771736798243E-002
 -0.267028808593750       5.404588974558061E-002
 -0.259399414062500       5.463148992820096E-002
 -0.255584716796875       5.496271282789891E-002
 -0.251770019531250       5.532309617884516E-002
 -0.247955322265625       5.571569969862968E-002
 -0.244140625000000       5.614395666597702E-002
 -0.240325927734375       5.661172598596265E-002
 -0.236511230468750       5.712335240518503E-002
 -0.232696533203125       5.768373628815006E-002
 -0.228881835937500       5.829841463227633E-002
 -0.225067138671875       5.897365531875753E-002
 -0.221252441406250       5.971656698130738E-002
 -0.217437744140625       6.053522733821341E-002
 -0.213623046875000       6.143883339160230E-002
 -0.209808349609375       6.243787757113229E-002
 -0.205993652343750       6.354435471104924E-002
 -0.202178955078125       6.477200572752514E-002
 -0.198364257812500       6.613660503993064E-002
 -0.194549560546875       6.765630019235927E-002
 -0.190734863281250       6.935201382167164E-002
 -0.188827514648438       7.027329020634304E-002
 -0.186920166015625       7.124792012952913E-002
 -0.185012817382812       7.227952614838015E-002
 -0.183105468750000       7.337201039151750E-002
 -0.181198120117188       7.452957834873278E-002
 -0.179290771484375       7.575676481247814E-002
 -0.177383422851562       7.705846216630237E-002
 -0.175476074218750       7.843995123079381E-002
 -0.173568725585938       7.990693489339903E-002
 -0.171661376953125       8.146557476442759E-002
 -0.169754028320312       8.312253111724768E-002
 -0.167846679687500       8.488500638561265E-002
 -0.165939331054688       8.676079250453569E-002
 -0.164031982421875       8.875832239223787E-002
 -0.162124633789062       9.088672587822511E-002
 -0.160217285156250       9.315589038494747E-002
 -0.158309936523438       9.557652666574690E-002
 -0.156402587890625       9.816023988734382E-002
 -0.154495239257812       0.100919606317686     
 -0.152587890625000       0.103868255835475     
 -0.150680541992188       0.107020960410923     
 -0.148773193359375       0.110393728611882     
 -0.146865844726562       0.114003906057384     
 -0.144958496093750       0.117870281562141     
 -0.143051147460938       0.122013198478621     
 -0.141143798828125       0.126454670433510     
 -0.139236450195312       0.131218500255387     
 -0.137329101562500       0.136330400379711     
 -0.135421752929688       0.141818112371849     
 -0.134468078613281       0.144712150461963     
 -0.133514404296875       0.147711522401611     
 -0.132560729980469       0.150820316670961     
 -0.131607055664062       0.154042768502857     
 -0.130653381347656       0.157383262392094     
 -0.129699707031250       0.160846334226474     
 -0.128746032714844       0.164436672968730     
 -0.127792358398438       0.168159121810279     
 -0.126838684082031       0.172018678708910     
 -0.125885009765625       0.176020496213043     
 -0.124931335449219       0.180169880465060     
 -0.123977661132812       0.184472289265390     
 -0.123023986816406       0.188933329067682     
 -0.122070312500000       0.193558750763384     
 -0.121116638183594       0.198354444101689     
 -0.120162963867188       0.203326430577987     
 -0.119209289550781       0.208480854610999     
 -0.118255615234375       0.213823972815773     
 -0.117301940917969       0.219362141166962     
 -0.116348266601562       0.225101799834613     
 -0.115394592285156       0.231049455463386     
 -0.114440917968750       0.237211660656203     
 -0.113487243652344       0.243594990415302     
 -0.112533569335938       0.250206015288157     
 -0.111579895019531       0.257051270963450     
 -0.110626220703125       0.264137224064074     
 -0.109672546386719       0.271470233890898     
 -0.108718872070312       0.279056509883811     
 -0.107765197753906       0.286902064586450     
 -0.106811523437500       0.295012661929266     
 -0.105857849121094       0.303393760683381     
